Dates,AAPL US Equity,META US Equity,MSFT US Equity
2/16/2023,-0.010429,-0.026643,-0.026623
2/17/2023,-0.007547,0.002552,-0.015602
2/20/2023,-0.007547,0.002552,-0.015602
2/21/2023,-0.02668,-0.004627,-0.020887
2/22/2023,0.002896,-0.005579,-0.004591
2/23/2023,0.003291,0.005376,0.012962
2/24/2023,-0.018005,-0.009591,-0.021784
2/27/2023,0.008248,-0.004989,0.003772
2/28/2023,-0.003448,0.031851,-0.002958
3/1/2023,-0.014246,-0.008689,-0.012629
3/2/2023,0.004129,0.006401,0.019653
3/3/2023,0.03509,0.061422,0.016646
3/6/2023,0.018539,-0.001889,0.006189
